Z	K-alpha(µm)	L-alpha(µm)	
6	7.27911544997859	
7	1.9220862410546	
8	3.80754957786618	
9	3.86163543427632	
10	6.74012534993993	
11	11.4933085059741	
12	18.1833574374308	
13	27.455650241676	
14	39.7752567646032	
15	56.2692329391166	
16	76.5701349060535	
17	118.926943816768	
18	207.332458292479	
19	287.416876658307	
20	391.735286434271	1.41632861472964
21	526.697510350991	1.94104818366374
22	692.290697741291	2.71744998514134
23	908.922730386521	3.66132549575504
24	1166.7175648041	2.63404841590462
25	1485.0787603323	3.34548424157583
26	1869.48559731586	4.31730433762211
27	2335.95535945439	5.45077492976249
28	2858.28312751082	6.76045311978914
29	3501.98540428222	8.47815728735667
30	4217.42279177912	10.7050740691212
31	5065.98182718008	12.9671561742722
32	5967.46126890781	14.8256199219904
33	6963.25159791213	19.3235092439575
34	8054.8790972157	22.8822788621347
35	9125.6020659703	27.5455959894649
36	10278.3873882627	32.2469966833603
37	11422.5655819054	37.8649741721448
38	12537.8768839273	43.8772594747374
39	13592.3360996011	50.9642133632657
40	14715.4888641739	58.5281656300547
41	15662.7279668569	67.4031317719921
42	16730.9271238866	78.5059474778887
43	20080.1330625772	88.3694462113546
44	21509.1561716702	128.432275325611
45	24103.4010126128	156.551648438998
46	25714.279751778	181.551896186419
47	27115.8673522761	209.699444467963
48	28795.1588998824	240.909499640161
49	30377.7034446231	275.697314660783
50	31901.0058071681	314.720767154477
51	33179.3161953984	357.217066018872
52	34929.9722777384	404.125800195897
53	36174.8238990062	455.718700035916
54	37680.6974022855	509.696771537548
55	38811.6835709469	577.579215171717
56	40332.2059275885	647.831206703284
57	41429.6449732237	717.551654232706
58	42487.4236867004	804.735685158434
59	43432.6988037278	897.510789993515
60	44635.4350062844	995.106833666048
61	45518.8306350586	1104.91380493321
62	46902.6860864963	1221.90460690854
63	47795.0956018923	1345.99954921475
64	0	1482.82280097968
65	0	1630.35734240143
66	0	
