Z	Ka [um] A	Ka [um] B	Ka [um] C	La [um] A	La [um] B	La [um] C
1	inf	nan	nan	inf	nan	nan
2	inf	nan	nan	inf	nan	nan
3	inf	nan	nan	inf	nan	nan
4	1.1088720485992996	nan	nan	inf	nan	nan
5	1.7223986161264762	3.290734024141256	3.290938242550863	inf	nan	nan
6	4.553550618804367	8.500632637181555	8.481306309175341	inf	nan	nan
7	1.0499071907161703	2.028437208753781	2.0272071187240623	inf	nan	nan
8	2.098928594540631	4.047239634569682	4.150411731269122	inf	nan	nan
9	2.109351146232177	4.071898036790566	4.06683001159922	inf	nan	nan
10	3.80717331174473	7.127971221189504	7.112064709919057	inf	nan	nan
11	6.49320140452035	11.784963857025408	11.741501051332342	inf	nan	nan
12	10.954752314624502	18.90037114584611	18.792674532458165	inf	nan	nan
13	17.771518921974288	28.775317039426554	28.52780077205684	inf	nan	nan
14	28.013873423687155	41.70241481334686	41.26117278593634	inf	nan	nan
15	42.960512125543	57.41225693538255	56.60819255785983	1.680121987066775	nan	nan
16	64.42391050295197	75.95393423118861	66.69747123837172	2.598191660842069	nan	nan
17	94.22007190378471	110.76954362462428	108.57536424451828	4.09157432459133	nan	nan
18	135.5796245301347	216.38430521082182	187.0176370324623	6.815798515966166	nan	nan
19	191.10425987884213	313.07384034535147	299.3500510971569	1.102252224754715	nan	nan
20	265.4550413735556	426.34581154631115	407.27358038946994	1.5735245643025002	nan	nan
21	363.0175524327649	570.8767047720652	546.3672609594682	1.0610211908811016	nan	nan
22	488.76004441353587	759.5475304245582	705.6970945929365	1.443335181455631	nan	nan
23	649.7438879179497	985.3849327547226	949.152044732718	1.9353546894342961	nan	nan
24	853.6356039776522	1273.2347147607536	1226.4739125017254	1.399412997546413	nan	nan
25	1109.1530192858522	1634.694317641992	1585.5220653112149	1.794629623748175	nan	nan
26	1425.270777209568	2067.4108543361854	2018.954227610717	2.3121595430351567	nan	nan
27	1812.5733332562452	2608.225570390149	2544.955586905307	2.9518402911573918	nan	nan
28	2283.5765973656416	3255.4521936575998	3199.8522946584835	3.7384974956156136	nan	nan
29	2849.209220877469	4038.5516374460817	3981.2718559636132	4.658866012645709	8.910504553771768	8.87923711648962
30	3526.686446536488	4951.676393520385	4908.337551942991	5.836004137552467	10.955497134090493	10.909244973385652
31	4328.145575309143	5988.054281139526	5996.744187643111	7.375509946874147	13.482091489543937	13.459207616435341
32	5266.562983860868	7107.964134586926	7250.149976089681	9.249980067946874	16.531612639301546	16.427256708693022
33	6355.258342201156	8619.65034880496	8650.379854569444	11.520011584110293	20.01625474767672	19.81267135062525
34	7604.07429675113	10043.22822061038	10185.251954855694	14.265232769257409	23.99714896278785	23.791702161410885
35	9022.602654762693	11808.55517387461	11849.025173883694	17.521412123891007	28.55755968352744	28.285318728297117
36	10629.013405963198	13593.838437748287	13602.277633471167	21.405560901322655	33.42880053090776	33.063251240132374
37	12405.991732518032	15401.612943116448	15408.72879229356	26.224470480189947	39.325445545738674	38.85484572869991
38	14370.440775935336	17249.344503761295	17246.95072930466	31.83776210932266	45.56871195439645	44.99175065868561
39	16514.689352677997	19091.44580334948	19094.933893999496	38.451336543058396	52.329699162332936	51.584612656053785
40	18826.156125163096	20319.865437045635	20909.33383341916	46.11339274623949	59.55710260254738	58.848744021623006
41	21293.381749339485	22686.532861971566	22668.619790641547	55.07747574439841	67.37502122299554	66.4428096119382
42	23898.586927991073	24391.357605092013	24358.866810882748	65.37153362212518	75.71258527771273	74.68770034952996
43	26624.20896303115	28629.23743944036	28469.713490942	77.33669275047909	85.07346310058601	84.0441981098345
44	29445.763195356583	30445.879673019408	30444.390687572883	91.09461376498608	112.24183619123303	108.71557933434694
45	32339.17782933185	35861.27658111904	34729.25994106223	106.89812464605362	156.79253522621312	145.782652175217
46	35274.399734081766	38734.561454792805	38560.080323284485	124.90544077381618	202.46104899239958	190.9613712566562
47	38232.67869722104	41690.62819911474	41508.00357253171	145.6507018835682	233.9050117276947	221.2280429108075
48	41187.611033763154	44583.63388613327	44411.40743747845	169.46390564981542	269.6382976989151	257.8808537768073
49	44113.93909400504	47412.9474352497	47253.63864951426	196.58049943210673	308.2476829552101	295.5549850636053
50	46990.64902568879	50161.180618190585	50006.69416955516	227.36524150745714	353.01258279993993	337.9044088441114
51	49799.85023403274	52817.65049745896	52671.85159546833	262.09406085974837	402.0072138397502	386.26242093621323
52	52526.20095722818	55348.72696089128	55230.39548689036	301.28451661730617	458.5493988362875	438.02658317041386
53	55159.529483983395	57762.95490043475	57650.75563797636	345.43673877150695	518.1360846538493	496.99617272053297
54	57699.764902777846	60063.48303251271	59970.68621322904	394.57795808769873	587.5236689757336	560.983320944927
55	60120.11354845852	62235.794816095164	62158.7241322225	451.23068426207493	665.9785839751489	636.2878772084213
56	62435.31952703899	64304.90518867912	64234.885639408014	513.5335581954557	744.5977510357354	717.53282289424
57	64635.55024808779	66237.82548635578	66192.27477532908	582.5852998962743	839.3564069893118	808.8354444881788
58	66727.93682494242	68068.95684551541	68041.82965540067	659.4274924995666	942.3325833577294	908.3890888689984
59	68710.91938644745	69807.89482784604	69786.61660920632	743.9664901559382	1056.038420255225	1019.3982992154879
60	70588.64772287279	71444.87959658519	71430.52674134713	837.0456039792649	1180.7658210315922	1136.0174805843606
61	72369.167700622	72983.96175690356	72982.14195962298	940.6467786667729	1315.6811314361748	1275.8995199926323
62	74057.04655580601	74451.58391214181	74468.23275350154	1054.0056054897732	1484.8208581709328	1425.0895950200181
63	75657.5370196413	75817.9130588809	75831.97604192478	1179.2065218835473	1647.924603654436	1596.7272365756135
64	nan	nan	nan	1315.6970706353407	1815.903680014141	1763.2309163933621
65	nan	nan	nan	1465.029362560176	2017.8880569777198	1961.9446822707507
66	nan	nan	nan	1629.6193160480204	2244.8521837330773	2174.0703361034743
67	nan	nan	nan	1808.2671222889387	2469.750062384672	2402.7980546643234
68	nan	nan	nan	2003.1255533072463	2718.1482576202943	2658.0976412986847
69	nan	nan	nan	2213.770821774718	3009.358657164293	2937.896313683216
70	nan	nan	nan	2442.337971319984	3302.444414371717	3241.3304639622515
71	nan	nan	nan	2689.888730345363	3635.8553928519964	3562.5494819454602
72	nan	nan	nan	2960.6673184410342	3976.420405956903	3911.5683209121794
73	nan	nan	nan	3252.1540921878027	4356.41482057056	4290.095926718618
74	nan	nan	nan	3566.5771624075533	4752.600110507134	4669.505928688161
75	nan	nan	nan	3903.093083296902	5185.23621428462	5128.130542309383
76	nan	nan	nan	4264.48441894125	5639.383754062829	5596.465092797136
77	nan	nan	nan	4654.539744499356	6123.75729092072	6087.49103544497
78	nan	nan	nan	5071.151533460485	6631.157166971537	6597.669498782741
79	nan	nan	nan	5514.524106746642	7172.037501973243	7142.405259999943
80	nan	nan	nan	5991.154947903337	7738.940389384621	7715.0399041167475
81	nan	nan	nan	6498.451867644975	8322.79571772629	8318.692836120226
82	nan	nan	nan	7035.948491563986	8933.057751461607	8942.197310128377
83	nan	nan	nan	7606.415162800157	9584.96811625049	9582.059552933371
84	nan	nan	nan	8209.963778405872	10239.662394662517	10245.050114596288
85	nan	nan	nan	8848.299906960183	10791.479965001226	10925.95174412912
86	nan	nan	nan	9520.572226062666	11639.641143629631	11627.357292908364
87	nan	nan	nan	10232.863411335766	12158.245841304511	12345.958829902003
88	nan	nan	nan	10977.349042349171	13054.276643859717	13083.505255909491
89	nan	nan	nan	11757.628216214716	13824.10161499112	13805.316786621102
90	nan	nan	nan	12573.448527127337	14218.579779261228	14568.362261048309
91	nan	nan	nan	13426.30406454427	15284.53257971782	15355.451784017207
92	nan	nan	nan	14309.895653236394	16052.508420239963	16112.709696695672
93	nan	nan	nan	15223.287592668778	16814.657566203947	16897.535394485265
94	nan	nan	nan	16176.648707820088	17211.775581636342	17658.22353132781
95	nan	nan	nan	17158.595912540328	17972.09983551618	18414.688340461602
96	nan	nan	nan	18171.315458464895	19198.42218076697	19171.10169515805
97	nan	nan	nan	19217.380393748943	19970.842042964166	19916.99890856137
98	nan	nan	nan	20295.425878853686	20390.465741740965	20679.758192669877
