Z	K-alpha(µm)	L-alpha(µm)	
6	4.60758835848655	
7	2.68303362138184	
8	5.11631104389091	
9	3.20089155035814	
10	5.47506222656354	
11	9.14519045270792	
12	12.2675703755503	
13	18.1641599912755	
14	25.8369016429696	
15	35.7510685853035	
16	47.7393223600682	
17	70.9047394615252	
18	121.11064330646	
19	165.458835456835	
20	111.482676657827	2.14215879068794
21	144.753768479171	2.72147647648038
22	184.916788872332	3.74328362658522
23	236.604636053091	4.95511450165168
24	297.965031152405	2.22292275041437
25	372.951088698047	2.79151914324838
26	464.542176595726	3.5704053838792
27	574.775863627217	4.47096196252758
28	702.969244787819	5.50380470312251
29	858.121997317672	6.84302332959007
30	1038.83237190467	8.56701041911761
31	1254.06992857815	8.91678823950412
32	1497.7578103826	10.1295257522438
33	1776.47521220089	13.0347448010646
34	2093.46364814444	15.3156463712323
35	2439.68143614758	18.2743399532787
36	2825.39280545143	21.2403818550963
37	3244.75162327807	24.7742615868189
38	3688.71027755516	28.5278776771657
39	4162.80705937881	32.9105764966936
40	4658.38839844661	37.4347895565529
41	5174.67214448685	42.774469932963
42	5729.5883695394	49.2305803148686
43	7068.86084911297	54.7863824499033
44	7887.8201078406	77.8723077463556
45	9176.60666711105	94.2044988720996
46	10203.3093354101	108.709366967085
47	11264.1228171667	124.751322722107
48	12433.514854581	142.485104851139
49	13622.1014683171	162.155589376407
50	14879.4715769469	184.184720761955
51	16129.6236321359	207.991168493154
52	17571.255729548	117.43006791
53	18834.6489110329	131.164092630976
54	20273.8327089586	145.178532975929
55	21654.8136286002	162.832062612668
56	23124.4783410659	180.911101552774
57	24532.6716296435	199.119496733042
58	25947.8450764183	221.75353940347
59	27291.2969426648	246.020156602615
60	28946.8629484109	271.270253329885
61	30293.4278940956	300.271522154664
62	31867.2815857664	330.306422604793
63	33212.0334907127	363.29738031024
64	0	398.956781867471
65	0	438.14355745578
66	0	479.8624
