Z	Ka [um] A	Ka [um] B	Ka [um] C	La [um] A	La [um] B	La [um] C
1	inf	nan	nan	inf	nan	nan
2	inf	nan	nan	inf	nan	nan
3	inf	nan	nan	inf	nan	nan
4	0.7888320535242849	nan	nan	inf	nan	nan
5	1.1274898770153374	2.155709692901839	2.155877105741342	inf	nan	nan
6	2.9060190466010125	5.417544023780565	5.404780143636088	inf	nan	nan
7	1.522020814450019	2.905728700183994	2.9018300363548537	inf	nan	nan
8	2.9382415372496693	5.534564369457179	5.5202711458012965	inf	nan	nan
9	1.7651508878001962	3.384984408132854	3.3793466313016665	inf	nan	nan
10	3.124080465257275	5.787428610440116	5.770785984657345	inf	nan	nan
11	4.864312123459359	9.355163332643782	9.311537717990634	inf	nan	nan
12	7.373852194761515	12.65584248546549	12.576639957729377	inf	nan	nan
13	11.636256561395012	18.728309861856754	18.555150169599862	inf	nan	nan
14	18.022305408105957	26.6490514599037	26.340178324362938	inf	nan	nan
15	27.26104060652948	36.20707806972916	35.62485862534297	1.1553800403720293	nan	nan
16	40.35741435182524	47.3809712197719	44.203927663849356	1.7300093191326147	nan	nan
17	58.287021668706664	68.26205802868473	53.24934343119407	2.649122107724131	nan	nan
18	82.88979034676338	113.53681683844734	117.90314756105768	4.3541884393708985	nan	nan
19	115.62063073785217	168.0691845334327	165.8073283419437	2.6697534436285273	nan	nan
20	71.37094137895782	113.82205999961063	109.19924910384142	2.4150742723007754	nan	nan
21	94.60614795347458	147.66498660677874	141.86237412011704	1.537313310456622	nan	nan
22	123.87773595500667	191.1908962768445	182.97546926329625	2.0613169369945377	nan	nan
23	160.51458134905394	241.78369458759116	234.37357582046658	2.7227635792794156	nan	nan
24	205.93380793110043	305.3936339700702	296.1560066370668	1.1944284093596276	nan	nan
25	261.8602974966966	384.2724876012802	375.3777023910918	1.5071262364427565	nan	nan
26	330.10762879663173	477.4009324092242	469.76546350713716	1.930095284865963	nan	nan
27	412.8374567703515	593.5278028960927	583.453596590098	2.4389348536968445	nan	nan
28	512.6628055953114	731.9167994358444	724.9478156640716	3.0688699920900797	nan	nan
29	631.9663382888076	899.6717423703403	893.694534959101	3.8007609449869757	7.172986724986756	7.140766220853316
30	774.6745348966634	1095.7709491455248	1094.3221483270474	4.721346507719777	8.725256128841638	8.67850066858462
31	943.9168219840087	1319.4680401963087	1331.5783920532756	5.094325250063397	9.250705860936138	9.232508303550627
32	1143.3778363276886	1562.559145755119	1605.6944557525376	6.294569183332802	11.180625916084013	11.103509095068034
33	1377.294714542139	1901.9759138541215	1919.8151259343233	7.729309606843278	13.35015546904532	13.206046587892875
34	1649.7435897742582	2223.5775385284182	2268.8883811664755	9.448783653745972	15.80401369345739	15.656919799153814
35	1965.4318292483733	2637.1076140429577	2656.0493141235424	11.480033516840571	18.598348923551534	18.40778654578144
36	2331.9661142017085	3065.9567469989925	3075.4361985515384	13.905866357044582	21.585669564579955	21.332112540191154
37	2749.7919489789256	3513.67970851369	3521.6293882859745	16.909998402567023	25.198769351618736	24.872196205232118
38	3228.335351698236	3987.505662329237	3991.8164403572464	20.397363064109324	29.014272055834095	28.613839076935626
39	3772.55652599503	4477.732490126849	4483.534134276913	24.487290475528546	33.12963247079813	32.6054114291836
40	4387.25208311071	4809.200170151131	4984.932523782001	29.19976855391446	37.5098556339745	36.98015473765113
41	5078.667505095462	5493.520692206895	5494.427541307538	34.68156768196722	42.2319762152676	41.51608530337963
42	5852.335705382983	6006.09175014417	6005.969083551073	40.93667461826369	47.244529962829844	46.39363731795656
43	6714.765096507157	7396.869209639181	7358.114994744755	48.16391963982051	52.854664848991526	51.807370185620705
44	7670.874503157061	8030.457529905928	8054.643445055368	56.4270257000914	69.24660569733445	65.05277596580743
45	8725.851322526854	10138.86607577901	9780.909689251495	65.86872653911794	79.54175081835933	84.0776558085938
46	9882.255670901182	11381.275965355746	11412.740429859503	76.58300231408928	113.64941650612757	108.82185109818242
47	11146.271084011143	12770.721222961869	12800.252284428498	88.87022778890915	130.00059618535	125.33041812198861
48	12519.944063203293	14252.972360945188	14288.238346984941	102.92649850175629	148.63247977022053	145.3378695619219
49	14003.674391732678	15834.912251321422	15874.236930768164	79.39301103871826	167.38739829527884	164.49202884453476
50	15597.293155223868	17512.867478006745	17547.060453960443	91.0870910852791	189.99709060040283	186.71133552816318
51	17299.34440225374	19283.930940922062	19315.176116458686	104.19790488032058	213.72495733855578	210.55060055905253
52	19106.552433317895	21124.992991899533	21155.39113823105	80.0863080329256	121.83376761686729	116.76393848181725
53	21015.595316260285	23037.322328807175	23063.904023875133	90.59726941150144	135.75502161450328	130.75434829205614
54	23027.85239314706	25017.720609646207	25043.206209363703	102.18227600149775	152.12589939885592	145.87575731782195
55	25119.17921370432	27044.478214187086	27065.19401650914	115.3967433570846	170.3223698360133	163.3357766045694
56	27296.062135509317	29130.331644850383	29137.618805299076	129.78859971766653	188.09901740503776	182.09235763462834
57	29541.10321553228	31229.843618299827	31244.1794777539	145.581269154097	209.7770748860567	203.1409055809673
58	31850.29760822864	33363.248811110665	36589.36091102032	162.99158316182954	233.04633808554397	225.7547400752968
59	34208.51957463018	35528.127177405746	35536.31385944409	181.9685680454467	258.5370949538187	250.6331722777522
60	36604.50357366014	37698.080828652535	37701.86065444547	202.68118509473996	286.2632457989296	278.7121818614416
61	39031.12235281158	39861.19362432738	39871.001168305236	225.5537318276077	315.9106079767038	308.1520801596604
62	41476.58235902406	42037.26942129485	42038.05082474324	250.4040872579008	353.83199888921035	341.1355506012599
63	43929.624480890496	44168.454108657	44190.46453282541	277.66624542405737	389.2654714348939	379.25039960821306
64	nan	nan	nan	307.21987126620115	425.2806155229625	415.23199820739336
65	nan	nan	nan	339.39155330169507	469.2412820437988	458.7919198857796
66	nan	nan	nan	374.6823407029244	518.6122615465725	504.8342928871475
67	nan	nan	nan	412.8366599872707	566.7041981207162	554.3945788713328
68	nan	nan	nan	454.30943818440267	619.8977850404381	609.6587927296932
69	nan	nan	nan	499.0124900352625	682.9995704715942	670.5338365094608
70	nan	nan	nan	547.4098014969849	745.7675446853063	736.8454803008026
71	nan	nan	nan	599.7389606069308	817.7408669785863	805.2186998243018
72	nan	nan	nan	656.9470349949929	890.7524398081465	880.2731699335061
73	nan	nan	nan	718.5064309923661	972.8028297293375	962.6395250278841
74	nan	nan	nan	784.9325104053416	1058.1608056999312	1044.0143725827186
75	nan	nan	nan	856.1002087943322	1151.954741898543	1141.8776919809154
76	nan	nan	nan	932.6768572726128	1250.5813386597645	1246.3159516860883
77	nan	nan	nan	1015.5486418638205	1356.1915549660037	1353.54563899618
78	nan	nan	nan	1104.3640535287198	1467.222232313697	1465.3288469499278
79	nan	nan	nan	1199.2969821105305	1586.5094588279985	1585.046238151899
80	nan	nan	nan	1301.8831840793482	1712.1992081133972	1711.8972564208825
81	nan	nan	nan	1411.7439018671637	1842.3693099069442	1846.5757444154465
82	nan	nan	nan	1528.9449682019942	1979.5474357958417	1986.6374163949995
83	nan	nan	nan	1654.3030634842457	2127.7749666871214	2131.4397515257633
84	nan	nan	nan	1788.1031219776958	2277.5713098080655	2282.8836665764943
85	nan	nan	nan	1930.9808872097349	2402.0612023747735	2439.9449249662152
86	nan	nan	nan	2083.061860674667	2603.567333048849	2603.592248678755
87	nan	nan	nan	2246.1019383100006	2721.6996465462294	2130.383166162386
88	nan	nan	nan	2418.6800869966814	2939.3156290570632	2949.6270822822084
89	nan	nan	nan	2602.0500129302254	3126.46832229772	3123.7413464088404
90	nan	nan	nan	2796.6004189509845	3216.3551000115235	3311.7933512221502
91	nan	nan	nan	3003.192904885067	3486.464021584922	3508.3486219247893
92	nan	nan	nan	3220.85407658775	3680.4010645487238	3699.4885234385115
93	nan	nan	nan	3449.9324740026073	3875.7365121346875	3900.933253541514
94	nan	nan	nan	3693.573994482256	3973.0620835823825	4099.684335206817
95	nan	nan	nan	3949.616880525577	4172.8279397248925	4300.04055002244
96	nan	nan	nan	4219.315368052206	4508.047489273877	4515.993288305021
97	nan	nan	nan	4504.113221093645	4719.668324957858	4707.029068480266
98	nan	nan	nan	4804.530041649009	4832.07337491127	4919.928447222223
