Z	Ka [um] A	Ka [um] B	Ka [um] C	La [um] A	La [um] B	La [um] C
1	inf	nan	nan	inf	nan	nan
2	inf	nan	nan	inf	nan	nan
3	inf	nan	nan	inf	nan	nan
4	7.102228249554759	nan	nan	inf	nan	nan
5	3.0126169860970795	5.316156919137858	5.299964721913252	inf	nan	nan
6	3.437693438471056	5.961525286439122	5.902494360737842	inf	nan	nan
7	0.8040112147651847	1.5618774281435992	1.5572572579611579	inf	nan	nan
8	1.0455976754232341	1.9849871871409928	1.9769800659695012	inf	nan	nan
9	1.4696332255267095	2.734184685530763	2.7192711284192184	inf	nan	nan
10	2.3341440901247315	4.145182253505019	4.111459847559722	inf	nan	nan
11	3.0755916559400065	5.280451066845562	5.225478625487327	inf	nan	nan
12	4.751555346434704	7.613991037258263	7.460740743591099	inf	nan	nan
13	7.076074364936828	10.426873184804233	10.345312560453165	inf	nan	nan
14	10.37366542343322	13.775402247595295	13.482699584318109	inf	nan	nan
15	14.571658564994571	17.3893470936173	16.495096587718454	6.6661564488797795	nan	nan
16	17.241629577823065	19.30492765267107	16.0762750282348	6.208188287520998	nan	nan
17	21.978513006442423	12.977497105644266	23.051260971090393	5.887367565494335	nan	nan
18	13.666454757076384	31.6859705753715	34.32858227113972	6.529433249059003	nan	nan
19	10.388800327957435	17.506066621153757	16.860601559558454	7.0016710959493516	nan	nan
20	12.756874584390362	20.206729673943705	19.423817486945623	1.943033080962679	nan	nan
21	16.588971748610785	25.652823627913065	24.68041966377749	0.802163456952752	nan	nan
22	21.367330102119244	32.69748961747789	30.63565924294149	0.9509593542562041	nan	nan
23	27.23245790279381	40.63401149188142	39.38973010226561	1.0648117589560595	nan	nan
24	34.386307050723225	50.52824686403823	48.896157900689474	1.1586498062778705	nan	nan
25	43.089920509602834	62.60388143480674	60.88314970015448	1.302816585052419	nan	nan
26	53.587278848006264	76.74740221058774	74.89857789909097	1.5756219573384418	nan	nan
27	66.08766309424679	91.39721941206028	91.48431205601116	1.8990833770600453	nan	nan
28	80.93504100934994	111.12368727326523	111.55355776568796	2.299284090023275	nan	nan
29	98.42040888811725	132.12378785062418	134.6861390797665	2.6161565885016005	4.711785946486991	4.661747125210531
30	119.1587556659872	157.14972651245836	144.848577398595	2.813050972597406	4.990312926523009	4.9348093567050055
31	143.43958475571574	186.53704994995715	193.80802693223694	3.420336633608301	5.855557484305042	5.812744434513889
32	171.70787146456323	217.19806064728587	229.01238835523162	4.129819200807109	6.878760754955635	6.788696309261657
33	191.60257173645715	262.5931847552472	297.94524377491683	4.952758785002078	7.962469628762069	7.833482378624296
34	227.22371547248474	302.36419354240684	323.2312589239142	5.904105945572485	9.12789680954614	8.968308519551696
35	237.4626333332911	317.89182682852015	321.3013520973135	6.992832369465739	10.3826625504996	10.200066837144648
36	273.14899057914346	365.5823731637331	366.7368358927384	8.279338577660997	11.695719136481003	11.445328882608852
37	304.0738693052028	389.57028361801395	389.8167911960022	9.818388302948506	13.209614771106246	12.901636101497868
38	344.0290720470099	423.14580921617323	422.4657552659037	11.54175425928875	14.726334590856679	14.375073369718862
39	398.1663996721899	470.95118602299596	470.1614228949083	13.514786796458187	16.284527310592576	15.839846554632448
40	459.38532183103194	502.4089298272164	518.7098794275108	14.628622321880952	17.889801601079334	17.397411633380088
41	528.0635992568893	570.4661707822513	568.1266853810218	16.179310645382277	18.81505945709367	18.278817445813743
42	604.7993387425296	620.607929585886	618.4623310171277	17.417653799040664	19.323430145815998	18.706776084774553
43	690.9563217702353	761.8335822461647	736.3924693848755	19.111720363683006	20.854384412132653	20.11183175843979
44	786.8022157708515	824.1182566671213	799.6343457069105	21.573710522185305	13.091740408839451	24.124737076986843
45	893.3487926844319	518.021751150157	550.7013493051973	23.785405885263312	21.722146200193166	28.52884648630537
46	435.30491229389764	577.4880802383653	657.5849943541365	13.062711673809714	34.8535572460757	32.81204821216442
47	490.4563816314436	648.0162558694151	732.423348937208	14.83863082647651	38.932043137744586	37.272955435206136
48	551.5145366639166	724.05350589484	812.5138644091662	10.935167507110151	20.140194931709157	19.425685723248456
49	338.5540213627617	387.9617160434248	391.8596160066757	10.705116843575285	17.42831721796216	16.797873743501707
50	378.2351448937805	431.5470958598797	435.43009076979916	11.24351627572944	17.399593240261236	16.731579486241216
51	421.9467460381473	479.0742848418756	483.04348500231515	12.656998507412325	19.33537907356525	17.21565577725128
52	470.0949127614255	530.3112331268353	534.331865570868	14.222412378278602	21.549532165117157	20.676213151683566
53	523.1009664583435	585.7916251352648	589.7515630841448	15.942630542722892	23.766396762192787	22.979749971871765
54	581.6244559175137	645.9741099288151	649.8760381212983	17.842845185761444	26.44132635931863	25.352185343407008
55	645.6803447093831	710.8340069758037	714.5128011104586	20.004547376172788	29.405404540993676	28.210245874297893
56	716.145921619006	781.3583813831777	784.4186316537692	22.344336425946203	32.237071885554066	31.230165913534076
57	793.178728017108	856.4542472592752	859.4831623704165	24.884515258336165	35.69823349784357	34.566616615493075
58	877.4407893350401	937.4163688827948	940.305620295436	27.65562109450911	39.36538644318813	38.1085966354184
59	969.2578638377191	1024.8139241439733	1026.9786129691836	30.647985782162497	43.35266680885267	41.9755498342877
60	1069.1138009979488	1118.1828953154	1119.6835550118	33.925351551198744	47.69452885916575	46.233073199514116
61	1177.7259684386531	1217.5495953256634	1218.9212570203813	37.516537663422646	52.284694732692984	50.71582655632254
62	1295.6440073933204	1324.5028982805356	1324.937660398155	41.38278874859064	58.21466684667681	55.873823079004495
63	1423.51405337628	1436.7317280894063	1437.967911627301	45.583648081103654	63.60271872206838	61.63955560770401
64	nan	nan	nan	50.10925659799727	67.36757871412503	66.94719280424107
65	nan	nan	nan	55.037645597337566	73.9612593715989	73.36634488901854
66	nan	nan	nan	60.39665799515989	81.34163785157162	80.22976044282014
67	nan	nan	nan	66.15038642107442	88.29345728523371	87.47995333963291
68	nan	nan	nan	72.38374601307363	95.96607597382057	95.4708496671416
69	nan	nan	nan	79.04775797190909	103.59957986203936	104.11913847524697
70	nan	nan	nan	86.20383057901094	111.37513005036081	113.53276598133304
71	nan	nan	nan	93.87815517732076	121.4594316172408	122.73755764307258
72	nan	nan	nan	102.2023665729852	131.3814467970743	133.23180180488723
73	nan	nan	nan	111.14113608670797	142.75176570520998	144.53688112650025
74	nan	nan	nan	120.7981726867217	154.41930875454187	155.56358432884514
75	nan	nan	nan	131.09714586106577	167.28725560760725	169.36032044058604
76	nan	nan	nan	142.10538299688113	180.63658358261512	182.85161990149228
77	nan	nan	nan	153.93944256153037	194.80217407181874	197.01699968411327
78	nan	nan	nan	166.53773854228658	209.49412056701237	211.41196957318908
79	nan	nan	nan	169.88286211669666	225.25322667538765	227.17981465256167
80	nan	nan	nan	183.5129287814289	241.6228059506102	243.68592262329238
81	nan	nan	nan	198.15908790594386	258.5147947191911	260.8908686813211
82	nan	nan	nan	213.71083724806002	276.17494735585694	278.79242402646014
83	nan	nan	nan	222.46951314220195	295.2671539937877	297.04692349472043
84	nan	nan	nan	239.25856599037675	314.09782225232976	315.7279908240043
85	nan	nan	nan	252.40798984945303	327.91577408119355	334.89689644865007
86	nan	nan	nan	247.92698397776192	316.08333142104	315.81658664833026
87	nan	nan	nan	266.1650943474136	327.88167216042115	334.4831364554672
88	nan	nan	nan	285.4836950699792	353.034403583824	354.0564661948565
89	nan	nan	nan	305.9355739399497	373.7278139273081	372.81163827790016
90	nan	nan	nan	327.55309915119676	381.0872260696326	392.82046364001644
91	nan	nan	nan	332.3834327068577	387.4559455499952	388.4130676970818
92	nan	nan	nan	354.69679847749444	406.72039481748595	407.8923334166404
93	nan	nan	nan	367.3641008074443	412.41996401070224	413.53653859930256
94	nan	nan	nan	391.66513709701644	420.94469000550856	432.6203448924402
95	nan	nan	nan	417.1356559098983	440.4162612551167	451.99800881634786
96	nan	nan	nan	443.90229886880945	474.1472527941151	452.40212540811586
97	nan	nan	nan	472.29902270884673	494.85526015212525	492.6669181064062
98	nan	nan	nan	502.25756479015104	505.11536906524367	513.608744351642
