Z	Ka [um] A	Ka [um] B	Ka [um] C	La [um] A	La [um] B	La [um] C
1	inf	nan	nan	inf	nan	nan
2	inf	nan	nan	inf	nan	nan
3	inf	nan	nan	inf	nan	nan
4	0.3047501879253431	nan	nan	inf	nan	nan
5	0.28020220245966093	0.5389721558208632	0.5394333914375427	inf	nan	nan
6	0.6512972629343966	1.2272524221700396	1.2152752473854451	inf	nan	nan
7	1.4181832696805017	2.5598619579372253	2.5507168266739666	inf	nan	nan
8	2.7957655289701	4.75307229421232	4.724473836822751	inf	nan	nan
9	4.997159384772561	7.680586974837967	7.618823053530459	inf	nan	nan
10	8.494862163267078	11.205042529277573	11.115841118276947	inf	nan	nan
11	10.595333336250537	12.935801223812147	12.896212231833978	inf	nan	nan
12	16.18850022813926	16.67103780660986	16.89896726652489	inf	nan	nan
13	7.069794357938818	20.04808146052816	17.758520521269503	inf	nan	nan
14	5.647269317088053	8.178730942433296	8.095649191232296	inf	nan	nan
15	7.934510813204172	10.412729529417927	10.274062828889507	0.3324947222887295	nan	nan
16	11.299376739522799	13.175307081732116	13.04517002134514	0.4498747581137449	nan	nan
17	15.944353392755486	18.54435829016401	18.262721912811745	0.640781762973702	nan	nan
18	22.241517367936513	35.10667828977662	34.43821562683339	1.0109729837832133	nan	nan
19	30.4131954075522	49.16673066187472	47.19916984212919	1.4328944122364942	nan	nan
20	41.04165098676169	64.97234362489668	62.23952451526086	2.080082681138758	nan	nan
21	54.711172655348186	84.64917323285688	80.99121130764959	1.4341539120754458	nan	nan
22	71.85910390319704	106.27995026574118	104.48839167028758	1.9467063198431482	nan	nan
23	93.6360899976016	134.1340430243895	134.0104069814683	2.5869196692047973	nan	nan
24	120.19636456322515	167.99839333526552	168.31803646178346	3.4014424866546746	nan	nan
25	153.696438799046	211.71096750193107	213.4246373577236	4.399525597009793	nan	nan
26	190.65743662244037	262.1292742615973	265.87557980595597	5.435249922071065	nan	nan
27	229.76659851717974	315.78525815209775	318.3012194837375	6.626224005960039	nan	nan
28	280.0450877372455	378.5481490800157	383.023779496042	8.339252641813653	nan	nan
29	346.131739635211	466.1398432301766	472.53196394093123	10.209603821652847	12.99199263038545	12.84784939775142
30	380.08916980936255	568.6481308908658	579.3264843788988	9.65649553462084	12.461512279180702	12.396513750347257
31	401.9124911767216	564.8364956729271	572.236517374444	11.527140970055125	13.597269760620264	13.780461308512583
32	480.06895221181526	657.3741138361493	676.7675540967252	14.199847852028789	15.59209011516428	15.472333586968755
33	576.2492737197797	797.8812585762608	806.2860379485664	16.95439959782054	17.303376873417687	17.299115036330807
34	688.8320036308611	930.9323532239088	950.937877249767	20.07745715625594	18.50631849390044	12.467794013518152
35	819.9481394885386	1103.6219751724275	1112.9956416592802	24.230777812097124	20.12077910589304	20.626358494590264
36	972.9547645386217	1283.566663146009	1288.122147806174	4.5734149388189325	6.939648361870088	6.8648245152933445
37	1148.2133596339056	1472.4776280349313	1476.3332504416637	5.361906860551495	7.833946948396109	7.741362275143446
38	1349.888006180477	1673.5144922786899	1675.491141217477	6.231429074464189	8.755337498604437	8.65485846317198
39	1580.4099264277252	1882.5424840956189	1885.4608448222511	7.236265317401944	9.679682001437694	9.553606501608071
40	1842.2560440478862	2023.7440383998248	2100.292419372217	8.434142761720462	10.733611960233322	10.604738250551275
41	2138.813353694085	2318.7267275572326	2319.7650494227437	9.841015247896836	11.895127976541515	11.754629724464783
42	2473.452551728726	2540.613108725115	2541.4667614479054	11.456588863061906	13.148852018394377	12.982584888349212
43	2850.2613656724093	3153.084568515771	2945.605959237278	13.329551293612642	14.573300853983735	14.43471267487136
44	3272.9430430539164	3434.11385797425	3447.8823530979876	15.469791349210356	18.834538190918206	18.90038832295755
45	3745.689261303653	4394.295598779352	4241.757334703318	17.904402147375162	25.955969360985467	24.319505635785294
46	4271.903569444871	4971.413307445596	5000.7503507277415	20.644569175739186	33.20775417006444	31.42165181170583
47	4857.041083293673	5629.343813576777	5660.369713187832	23.75644440349616	37.86877813242868	35.94171300951056
48	5505.1561620195735	6346.025743100793	6382.643730134249	27.27750763843239	43.104668677835974	41.31857041201682
49	6220.004451606525	7128.435577872358	7169.8420997964195	31.231136840034964	48.59744347537109	46.76187978727239
50	7005.553622742974	7978.858722724872	8019.959646140369	35.66451187209099	54.95580596300529	52.71126439638263
51	7865.631712351738	8900.289908135062	8942.38545949635	40.61457463926329	61.781743216494085	59.204597815835804
52	8803.607894649873	9885.087586691297	9928.503441232218	46.15001302342697	69.66325580918611	66.56730943224981
53	9823.24935276648	10938.336309795404	10970.02693942881	52.33490736261168	77.7524764143736	74.58875942738638
54	10931.406041359478	12063.051098934871	12105.338450911973	59.17363548434193	87.32993490701519	83.20702111040801
55	12120.999189473243	13251.466472690621	13290.80607870968	66.833941265809	95.06008085887215	93.30601917884138
56	13402.124173380564	14515.758460221341	14529.055769309789	75.35253344300389	104.80125598907132	104.07095104575787
57	14771.281553730058	15832.511894806292	15864.002521184942	84.73655310843021	117.00108496989013	116.12237470907245
58	16232.75263501631	17217.998348663496	17247.85671408497	95.11773504337907	129.70575785117407	129.04685965722265
59	17783.655601215523	18675.077671997555	18695.68192897374	106.05328898261472	143.20315260435206	142.49145165763653
60	19422.864478595206	20189.73171217501	20203.24113267983	118.21326217639906	158.6085555851322	158.05112894359357
61	21151.531215764993	21756.11442259445	21770.012288220423	131.86793567766313	175.0085193597881	175.15710624388356
62	22966.89664078332	23391.29463908393	23395.039704266215	144.35457140049775	197.06898213647582	193.97517777064797
63	24865.525160036315	25053.395343807835	25071.4598393217	160.4358343130922	216.82503997163587	215.92013320525493
64	nan	nan	nan	174.88356035119747	235.77864140415647	235.59138165089985
65	nan	nan	nan	193.53835347655172	260.6455219434062	259.7355550227902
66	nan	nan	nan	214.0459130071971	288.81729398633655	286.3061701737768
67	nan	nan	nan	230.1090624054391	304.56690830441335	302.8404421359801
68	nan	nan	nan	253.59563008411044	333.1676956208732	333.09502410535333
69	nan	nan	nan	272.4813559332561	356.8762133554399	354.8312024978929
70	nan	nan	nan	299.2389708623063	389.7133949647801	390.18118157638594
71	nan	nan	nan	297.8501540574201	427.98634784730604	426.4770712166236
72	nan	nan	nan	326.17229493748954	466.3058199237953	466.203544211771
73	nan	nan	nan	354.27627582424765	509.9411178676184	510.1677805645207
74	nan	nan	nan	387.0212268047517	555.022604590148	553.1966519082226
75	nan	nan	nan	422.1783447797585	604.9750525586521	606.1266182968129
76	nan	nan	nan	460.11303115839587	657.3525149026482	661.5720220949772
77	nan	nan	nan	432.6242388226421	581.9953122895395	580.1804135699997
78	nan	nan	nan	469.5297865404376	628.3241203700667	628.411891733282
79	nan	nan	nan	503.88496065597457	669.0942150497644	669.0065185719808
80	nan	nan	nan	546.0734356112895	720.7914213963141	721.1356919808911
81	nan	nan	nan	591.3370716393574	774.3914882149053	776.6481263526417
82	nan	nan	nan	639.721154858822	831.0128897313692	834.449119486834
83	nan	nan	nan	691.5788047555122	892.4004643794593	894.7959781405842
84	nan	nan	nan	747.0472231429685	954.5219943203139	957.1097759023278
85	nan	nan	nan	806.4021271125446	1005.9018802777691	1022.3868303609643
86	nan	nan	nan	869.7129682679032	1090.3194843150254	1090.5815464591085
87	nan	nan	nan	937.7297786194692	1139.20295374212	893.1860168399068
88	nan	nan	nan	1009.8744872610605	1230.760655750787	1235.381788913815
89	nan	nan	nan	1086.6961833723458	1309.4541688290938	1309.592075921222
90	nan	nan	nan	1168.3847121658473	1346.6617013032878	1387.7423436837641
91	nan	nan	nan	1255.3326262569515	1461.166999908232	1470.3909112029098
92	nan	nan	nan	1347.163494919055	1543.248805739128	1551.696884456736
93	nan	nan	nan	1444.058423111698	1626.1092889591603	1637.2247371635335
94	nan	nan	nan	1547.3824560809044	1666.9726776087166	1721.5305177409393
95	nan	nan	nan	1656.2626524892996	1751.996519312719	1807.1129960047838
96	nan	nan	nan	1771.272770648361	1895.6231716755783	1899.4878300201513
97	nan	nan	nan	1893.075182572757	1986.154479250818	1980.9401374335023
98	nan	nan	nan	2021.963052220743	2033.8751854543393	2072.2298477848576
