Z	Ka [um] A	Ka [um] B	Ka [um] C	La [um] A	La [um] B	La [um] C
1	inf	nan	nan	inf	nan	nan
2	inf	nan	nan	inf	nan	nan
3	inf	nan	nan	inf	nan	nan
4	0.9703044334252295	nan	nan	inf	nan	nan
5	1.4473940936456795	2.7663753360841925	2.7666137574502474	inf	nan	nan
6	3.763502375973384	7.026127320173073	7.010032012344843	inf	nan	nan
7	1.3158145788219502	2.5298046791353217	2.5274927159655505	inf	nan	nan
8	2.4286806605788125	4.647888476187907	4.640113512756944	inf	nan	nan
9	1.9034101105145596	3.6677720078840874	3.662821758501098	inf	nan	nan
10	3.3997912191013917	6.348248212785515	6.333061051527868	inf	nan	nan
11	5.746309100679507	10.387602182299748	10.34671974931715	inf	nan	nan
12	9.519435312184527	16.51936091423709	16.419644423534265	inf	nan	nan
13	15.117963248849708	24.373576590445158	24.156332915886004	inf	nan	nan
14	23.67152518820661	35.05192117063955	34.664458679418274	inf	nan	nan
15	36.08979802452744	47.94309140501571	47.23025241472051	1.4473177550158596	nan	nan
16	53.21591772750356	62.61470600196498	61.76059455543815	2.200893759673849	nan	nan
17	77.3603121799964	90.78458099633072	71.58529699135559	3.416284443352325	nan	nan
18	110.6961512100191	164.36789388289964	138.17969168170828	5.656972844386119	nan	nan
19	155.2668172195649	240.38095128855375	231.82835527562946	1.5394955087610132	nan	nan
20	176.62734448294123	273.61534877875727	263.1137181697125	2.033107037758267	nan	nan
21	185.0947436962393	289.67347931479196	277.88141604317525	1.3295830857693391	nan	nan
22	243.91171436727294	377.3908658020224	360.63568296893135	1.6848403623955543	nan	nan
23	318.1313835665261	480.1069028566502	464.51043014356765	2.24410888951779	nan	nan
24	411.0655181912831	610.3154314531647	590.6767607376189	1.27628422986123	nan	nan
25	526.1648705377545	772.7434411252084	753.285110568908	1.6224269577945614	nan	nan
26	666.8928112265005	964.979277873378	947.4891913035101	2.083735200046276	nan	nan
27	837.627650903453	1204.2373071195605	365.7937901023208	2.646103797280364	nan	nan
28	1043.839672976315	1489.203790939778	1471.755840371723	3.3391946408587994	nan	nan
29	1290.4954449343747	1834.1461994891351	1817.9904128999624	4.146856790666928	7.903175215918436	7.873450945746287
30	1585.5939835419658	2236.9911078411906	2229.249842051549	5.171543088057101	9.669028836957708	9.625385964722033
31	1935.1787036836067	2695.73546093156	2714.6035036222756	6.5167064900696525	11.854145545999518	11.832450991522167
32	2346.1604032882956	3193.159830158975	3273.274886668362	8.149837056575963	14.486483197726956	14.389513421105772
33	2826.28299257385	3880.701395980951	3910.4138521504315	10.001726749609057	17.477291423854187	17.340232257971124
34	3382.631725048551	4530.182348335244	4613.998911619487	12.182030429908513	20.413767452039572	20.232791308231345
35	4023.167191680094	5356.263766718532	5388.555793773633	14.908622951784746	24.19542043878741	23.95642843101604
36	4761.087079224002	6205.862619976249	6220.214148926366	18.157684357102887	28.227637541519936	27.907791524762313
37	5594.5210266858285	7084.257594553267	7096.142673549552	22.18044386596013	33.09644580503884	32.684699757168524
38	6538.800623678048	8003.789102422238	8009.154304087374	26.855427520659273	38.2364304195788	37.73005327443417
39	7599.2833937480045	8944.200327656987	8952.320231818947	32.35116562833438	43.78563840815131	43.088948797662894
40	8780.011112468916	9576.536139057022	9813.347498086508	38.51604008136935	49.7018223997775	49.059779045587995
41	10086.613774297744	10856.734561037367	10855.496718117809	45.60988873410285	55.67264450813731	54.82185273363538
42	11522.096794711886	11803.219971948407	11796.561163963719	53.9896939431953	62.42496555703255	61.44685623639313
43	13089.945182108611	14302.589168168466	14223.452078184053	63.70258846437321	69.99524629970858	68.8804573975089
44	14789.456657073097	15416.89686979384	15443.267744868412	74.8410935184614	92.04285228902526	87.79051031480834
45	16619.216928406142	18994.374720557815	18332.620338793742	87.60414744311561	117.1956777968155	115.57053641388826
46	18572.28267999767	21024.133403467866	21008.54002423151	102.12018821629405	158.87727431577682	150.35861841423295
47	20647.018864948335	23226.57554061569	23201.097788073363	118.80809505420947	182.65694549691128	173.36600455790028
48	22834.12779774232	25501.769300643075	25478.918836108194	137.93522481931376	209.70802645161004	201.1142659216024
49	25121.564948491494	27849.98182539498	27828.71400948914	146.92343586870751	237.9913498777124	229.65651844572366
50	27496.688250589057	30255.674823743495	30225.473535586007	169.40276172158215	271.35375347070305	261.4649778206175
51	29945.53906600968	32705.645005821596	32670.2679390913	172.60483977018978	307.14505025409665	296.4848536494385
52	32452.544515410114	35161.23181091182	35126.70851396932	178.75146601504792	294.6366888547102	282.5290378585148
53	35003.37567821245	37619.7867399922	37584.90228427337	203.56518664559556	330.14673440159675	318.5822930792671
54	37591.0458804963	40073.412498879785	40042.20968518667	200.2058101893094	298.3295535642816	285.5794695384566
55	40178.09560676207	42493.60132206793	42463.70647759452	226.77694606332668	334.9813171486467	320.8733845256992
56	42768.06591195095	44894.92618295987	44857.60097480695	255.8003776375493	370.974984363343	358.61782614246806
57	45337.077286410546	47226.06136961325	47204.892819229426	287.7528805024401	414.70074855413617	400.99581166398707
58	47879.361474021935	49512.94530390591	49503.033092605365	323.097609168402	461.8182357973677	446.70812197098354
59	50378.653704460514	51755.15201810727	51743.88901078974	361.7636609467389	513.6348516136482	497.1826900279401
60	52825.31270646515	53928.58683638338	53919.62213494467	404.11869619581495	570.2649551892747	553.062264520253
61	55215.489593445425	56026.46146074929	56028.89457899046	451.03071138976753	631.1374832079406	614.782238089558
62	57541.89007792629	58073.0625099166	58070.81314811596	502.1169848793379	708.5690279183806	682.2259516285661
63	59799.09499793517	60018.84552785275	60038.46483229839	558.2608690702338	781.6567694642289	760.3153436151479
64	nan	nan	nan	619.1796811202164	856.190929138145	834.6149026009198
65	nan	nan	nan	685.5248425368833	946.6278749556963	924.050683187715
66	nan	nan	nan	758.3368130379433	1048.095803895858	1018.7494605070548
67	nan	nan	nan	837.0881399732245	1147.3224154289994	1120.5131386542873
68	nan	nan	nan	922.7240323823822	1256.926747280185	1234.1669138697075
69	nan	nan	nan	1015.060231290588	1386.4232343939652	1358.6546624527195
70	nan	nan	nan	1115.0494171345158	1515.5734070609353	1493.4399017862424
71	nan	nan	nan	1223.1773229929047	1663.2783447886636	1635.7097237793382
72	nan	nan	nan	1341.3781883089594	1813.3528580066072	1788.5138300584686
73	nan	nan	nan	1468.5641503023364	1981.6602585131243	1958.2624153876639
74	nan	nan	nan	1605.7727226048337	2156.846731027717	2125.4815615768835
75	nan	nan	nan	1752.7067999910257	2349.00039459591	2325.662611396991
76	nan	nan	nan	1910.691257008613	2550.9277078773816	2539.152636671284
77	nan	nan	nan	2081.4961918941513	2766.872009565264	2758.244083165367
78	nan	nan	nan	2264.329701919703	2993.612322984379	2986.491867237088
79	nan	nan	nan	2459.461074700036	3236.612025504463	3230.606138402512
80	nan	nan	nan	2669.946674623538	3492.175781660515	3488.585012375362
81	nan	nan	nan	2894.8864373585975	3756.314563286584	3761.828496607325
82	nan	nan	nan	3134.306478838168	4033.9113621798047	4045.3035907999724
83	nan	nan	nan	3389.740783487187	4332.787880171992	4337.627748680385
84	nan	nan	nan	3661.607434700853	4634.136827668254	4642.4249290711305
85	nan	nan	nan	3951.034518881224	4885.323528692043	4957.590405324848
86	nan	nan	nan	4258.078672766997	5286.302507980495	5284.61310510185
87	nan	nan	nan	4586.048619755032	5523.70579961779	4319.752325555603
88	nan	nan	nan	4931.85037004554	5953.705964286059	5972.235329599477
89	nan	nan	nan	5297.729479942739	6323.0397169405205	6316.518562272211
90	nan	nan	nan	5684.1715143701695	6503.2261399464605	6077.106355950717
91	nan	nan	nan	6092.560473989272	7030.064307018519	7070.5237609284295
92	nan	nan	nan	6520.61596741345	7408.166544970327	7443.153229712306
93	nan	nan	nan	6968.6496130123605	7787.236564375958	7833.572069682275
94	nan	nan	nan	7442.411534706809	7978.060779962215	8217.220482994668
95	nan	nan	nan	7937.21204443563	8362.818134738005	8602.009158168155
96	nan	nan	nan	8455.01064216442	9001.411710537846	8991.323786348914
97	nan	nan	nan	8998.05810454286	9403.685210553298	9378.239991998928
98	nan	nan	nan	9566.736375247978	9618.34456503086	9780.564599856029
