Z	Ka [um] A	Ka [um] B	Ka [um] C	La [um] A	La [um] B	La [um] C
1	inf	nan	nan	inf	nan	nan
2	inf	nan	nan	inf	nan	nan
3	inf	nan	nan	inf	nan	nan
4	0.509116219339814	nan	nan	inf	nan	nan
5	0.42300160180177404	0.8126447388910846	0.8126836969541673	inf	nan	nan
6	0.9846400295729504	1.851309531987271	1.8477434134847417	inf	nan	nan
7	1.8046213949141425	3.2890979203398407	3.2784918831990533	inf	nan	nan
8	3.4708178557108376	6.019428084344104	5.984116880744949	inf	nan	nan
9	2.0675331203509897	3.769146721086684	3.7537981670109217	inf	nan	nan
10	3.466094009501732	5.937670871436762	5.900693770882665	inf	nan	nan
11	5.584044772739895	9.086317364395036	6.375617142210948	inf	nan	nan
12	8.862849465285894	12.723944251232211	12.588768766781978	inf	nan	nan
13	12.475655251986332	17.33645901994665	17.151057620850995	inf	nan	nan
14	16.971504893908605	19.580523960454027	19.404865157881932	inf	nan	nan
15	11.308949570826373	14.956045031233986	14.734760474304077	0.5487832722519608	nan	nan
16	16.040304759114473	18.81743275099132	18.590507242408087	0.6835266627899143	nan	nan
17	22.96037243329934	26.794311249018183	21.344982105812893	0.970025915193698	nan	nan
18	32.46902524417264	50.10222761593801	49.15713992515843	1.5179287132128874	nan	nan
19	44.61477102864683	70.49298057383861	68.32637385299039	2.1718376557466335	nan	nan
20	54.0500690441911	84.62968296766871	81.89260487733505	2.750185866216193	nan	nan
21	68.82014350239194	105.78281925230449	102.42339724274197	1.8242638590498614	nan	nan
22	90.15218405025307	137.21956981997133	132.18720836097535	2.44063412748657	nan	nan
23	117.25873921415472	173.72773730267397	169.6457433578122	3.2184586968982396	nan	nan
24	150.43619959890418	218.55413269913683	213.30341441236027	1.4000025166810894	nan	nan
25	192.09480470794907	275.8297362210546	271.0996132775528	1.765568388787399	nan	nan
26	243.08353693392826	343.43716376101264	340.16605904172917	2.2436464510688197	nan	nan
27	288.00630830476797	428.14292984519955	423.9473903799196	2.730727451578022	nan	nan
28	333.30087699537864	476.5169873351396	472.124794950721	3.4050664483096513	nan	nan
29	410.762002396758	585.5631730820678	581.8552348273693	4.201515644738778	7.219508232289868	7.150160677849084
30	503.7534356628456	713.5478298221827	712.8589850990408	5.180441071070019	8.561516544297964	8.468735514185994
31	614.3536425864498	860.139647285412	868.4430703336759	6.123285328309784	9.653031049150606	9.634354913685991
32	744.9658186269038	1019.9457607787414	1048.723971467949	7.591734675672638	11.473004231078994	11.317052043248626
33	898.3822595149007	1243.6192223736007	1255.8197421528655	9.294914498934205	13.344888738507048	13.154606002410768
34	1077.3931151117754	1456.0720356609438	1486.499821870882	11.30989904758241	15.201879843263121	14.98510587558888
35	1285.3070972983378	1730.0837300300607	1743.064327220363	13.749746838058597	17.301124003155103	17.08278399707397
36	1527.438392901253	2015.2507565183153	2021.9101137506968	13.258257650385207	16.742022488854992	16.51616014563932
37	1804.4797479481615	2314.142625048391	2319.774314916149	15.974192381638598	18.842170889956883	18.62096467072688
38	2123.180554816916	2631.8480192336024	2635.0186668773435	12.512288816841691	20.921698465960198	20.757931840624583
39	2487.4542489378678	2962.1315012948685	2966.3344482605685	10.390914860581798	14.011698996207317	13.810091941993155
40	2901.2434994821806	3186.539123784179	3305.951553047539	11.993475223134185	15.387588097839158	15.1784866380345
41	3369.5773463787086	3651.7649511962404	3653.7573563650776	13.95231340147519	16.984471987026012	16.749636589546387
42	3897.1657366728564	4002.358485346847	4003.0482566662395	16.27554264573632	18.78049194374117	18.496397236180805
43	4489.598533872905	4960.707394967901	4935.399520563056	19.034925231032044	20.882030899436536	20.61250960849046
44	5151.664718079272	5401.811453422253	5421.012505607079	22.238832745800423	27.133569664818182	14.997670633155858
45	5888.624686579804	6885.039982313448	6642.477155067129	25.911556900665147	36.438281244452114	34.71064952437292
46	6704.2257523515445	7772.597793072208	7806.821717053076	30.044081209767906	47.35690025174425	45.077043203355025
47	7605.183245845034	8776.62167537139	8811.59487150017	34.71559290202211	54.238808594246414	51.813063138156465
48	8595.698191518986	9861.316271240794	9902.694324543934	39.95868753263207	61.90881799907503	59.75647812431339
49	9679.144414258277	11034.696475745452	11081.17186873633	43.745936304704315	69.79765654804409	67.71716695356282
50	10858.8181734279	12297.340165096633	12341.596811023825	49.97200608636347	78.93084117692399	76.42086679702173
51	12137.382829264856	13650.54327695645	13694.28902463878	55.83606316113474	88.62072943960692	85.83972470769807
52	13516.364670412626	15079.979641988304	15124.139661615143	59.64692346032841	90.78150508425371	87.58966877311158
53	14997.405140667297	16589.751654783486	16631.895293773847	67.57508108095114	101.11783122550065	98.10274416656641
54	16586.05994763834	18180.63247334876	18221.42546117927	74.3993269347519	109.21563934522587	105.25835840008074
55	18267.60961856363	19838.12993133302	19874.78276710643	83.91212119246464	122.36001160390389	118.35336580361235
56	20051.44633006649	21575.447836355255	21599.11930305369	94.51706987135164	135.1122943305694	131.60665794791535
57	21927.45201922671	23357.031636894328	23384.680585174516	106.19866983865833	150.86740058971344	146.88059098402584
58	23896.112377382462	25201.572780493105	25228.77355305425	119.11788544877955	167.7792937488139	163.33884219626307
59	25948.086430857165	27109.03190251126	27126.170375796402	132.65047971165257	185.205467271738	180.3288218248026
60	28076.58276645103	29057.66175677311	29068.03696465347	147.98559447617117	205.24987439028314	200.18931562788688
61	30277.84913779959	31037.248467108533	31050.4537481691	164.96899523059264	226.70378322974184	222.05442999339297
62	32543.281710405456	33066.37578769669	33069.03026278849	183.4662297878664	254.65325408304204	246.1472158314729
63	34863.876397526255	35091.04063152107	35112.42368384866	203.79946650275912	280.44840654503236	274.1960826368205
64	nan	nan	nan	214.93707519207962	306.5416467214787	300.4192013322946
65	nan	nan	nan	237.6725088228372	338.7886743329143	332.5700238486883
66	nan	nan	nan	262.6234731649054	375.1083346406867	366.4526096196299
67	nan	nan	nan	289.6384049478909	410.16374029140985	402.93085870498834
68	nan	nan	nan	319.0519827515633	449.05264048254725	443.75926892303977
69	nan	nan	nan	324.58267438628314	444.90471292188676	436.84395089759573
70	nan	nan	nan	355.99379754609987	485.65226223154514	479.9443215391857
71	nan	nan	nan	389.9734244759034	532.4077811340775	524.3597292112181
72	nan	nan	nan	427.1570096614384	579.8659372712862	573.1521515241405
73	nan	nan	nan	467.2198254245791	633.305472680937	626.3824318332319
74	nan	nan	nan	510.5088542560762	689.0060296814164	679.9043609530328
75	nan	nan	nan	556.9464817032253	750.3346058933705	743.8963939386706
76	nan	nan	nan	606.9737062747524	814.9389032553345	811.7642891267159
77	nan	nan	nan	661.1748833126316	884.2330637273087	882.6665036948597
78	nan	nan	nan	719.3246832394087	957.1933108584965	956.1698796949914
79	nan	nan	nan	781.5390486580965	1035.6811631494954	1034.89596024242
80	nan	nan	nan	848.8264312144976	1118.4749046331362	1118.4534050961693
81	nan	nan	nan	920.9409009261559	1204.299871405262	1207.2505441286764
82	nan	nan	nan	997.9382948725532	1294.8303899489533	1299.6717946597355
83	nan	nan	nan	1080.3723646087687	1392.7550681313407	1396.0624166075515
84	nan	nan	nan	1168.450688135103	1491.8279916439562	1495.487340642472
85	nan	nan	nan	1262.6152466371811	1574.2459803288082	1599.4871120372911
86	nan	nan	nan	1362.9753819927105	1707.8436645690836	1707.9844484093917
87	nan	nan	nan	1470.7219045087818	1786.2567281603972	1398.5189845573493
88	nan	nan	nan	1584.9498789162988	1930.9362975137255	1937.9085916984427
89	nan	nan	nan	1706.523226573259	2055.5775791297656	2055.587088648022
90	nan	nan	nan	1835.7377685584513	2115.5099931658033	2179.323650396336
91	nan	nan	nan	1973.2089087652457	2295.933936435216	2310.0462167621363
92	nan	nan	nan	2118.3353814166426	2425.7575838596954	2438.6712630941574
93	nan	nan	nan	2271.397883993574	2556.765074870201	2573.819737969281
94	nan	nan	nan	2434.5558509952602	2622.169240850604	2707.4251843281736
95	nan	nan	nan	2606.4262243417825	2756.557704391896	2842.3884223818045
96	nan	nan	nan	2787.9162450564427	2982.5884294785765	2988.249629515516
97	nan	nan	nan	2980.0732365627773	3125.722726592206	3117.359481850452
98	nan	nan	nan	3183.327304595134	3201.9747304869366	3261.7017683674417
